Product_Category,Category_Revenue,Category_Quantity,Category_Orders
Nest-USA,2351315.5388,21430,11626
Apparel,735450.43634,32438,8129
Nest,439976.9833,2837,1974
Office,344000.09160000004,88383,3526
Drinkware,240267.75258,30501,2524
Bags,168853.06313999998,15273,1545
Lifestyle,114558.96136,24881,1712
Notebooks & Journals,109368.1395,9556,620
Nest-Canada,65545.7522,469,258
Headgear,53454.193100000004,3533,674
Gift Cards,17574.8076,206,157
Google,13168.807,575,105
Waze,11250.57312,1144,442
Backpacks,10812.879,113,84
Bottles,9309.91705,2090,258
Accessories,9277.125900000001,1097,191
Fun,8994.541799999999,834,146
Housewares,6372.833680000001,2484,122
More Bags,3973.1128,144,40
Android,986.0494,45,43
